ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile							30002187
18	Plagioclase	18	33,550,000.00	62.20	63.01	58.79	1.53	63.01	63.01	958,941.00	74.00	74.00	66.00	3.56	74.00	74.00							
19	Spodumain	19	640,000.00	3,013.42	4,004.50	239.84	1,806.83	4,004.48	4,004.50	37,528.00	29,610.98	29,869.94	6,555.55	11,123.06	29,869.94	29,200.65							
20	Kernite	20	11,300,000.00	205.79	215.09	200.03	5.66	203.64	215.09	2,771,435.00	257.61	317.00	224.99	33.64	250.97	224.99							
21	Hedbergite	21	2,697,667.00	239.68	676.42	101.09	287.41	101.09	676.40	106,343.00	730.91	748.00	729.99	7.80	739.00	729.99							
22	Arkonor	22	278,000.00	3,986.04	4,016.85	3,172.50	314.48	4,016.28	4,016.85	14,302.00	9,781.14	10,000.00	5,140.00	2,288.91	10,000.00	9,781.14							
34	Tritanium	34	4,764,077,747.00	5.66	5.98	4.33	0.37	5.70	5.94	4,598,416,850.00	6.68	20.00	6.12	2.51	6.48	6.13							
35	Pyerite	35	830,070,917.00	8.82	10.64	6.36	1.56	10.01	10.63	765,897,416.00	13.62	24.00	10.89	5.08	11.06	10.89							
36	Mexallon	36	228,435,106.00	54.91	57.61	40.43	3.42	56.63	57.41	211,408,749.00	64.66	89.40	61.64	7.26	63.60	61.65							
37	Isogen	37	190,111,980.00	84.45	89.48	38.40	9.13	86.19	89.47	240,873,499.00	110.60	280.00	94.98	43.56	99.49	94.99							
38	Nocxium	38	35,022,797.00	385.73	430.09	355.00	24.39	379.51	430.06	42,084,190.00	532.51	600.01	450.66	59.89	544.87	450.83							
39	Zydrine	39	13,077,241.00	1,031.17	1,068.50	752.03	52.70	1,055.01	1,068.45	29,592,657.00	1,270.55	1,898.99	1,124.97	141.43	1,277.78	1,124.98							
40	Megacyte	40	5,208,111.00	934.06	1,052.01	620.10	133.05	998.38	1,052.01	21,969,861.00	1,347.17	2,599.94	1,123.46	372.25	1,200.00	1,123.67							
41	Garbage	41	10,100,000.00	5.15	5.16	5.15	0.00	5.15	5.15	24,134.00	72.33	72.34	70.00	1.17	72.34	72.33							
42	Spiced Wine	42	10,240.00	41.25	1,708.43	3.00	771.64	3.00	41.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
43	Antibiotics	43	25,000.00	200.00	200.00	200.00	0.00	200.00	200.00	7,148.00	327.15	343.89	326.77	8.56	335.33	326.77							
44	Enriched Uranium	44	1,263,993.00	10,090.83	11,372.31	9,105.50	995.97	9,400.01	11,372.29	1,444,677.00	14,767.47	19,999.99	11,899.99	2,055.88	14,849.93	11,966.60							
45	Frozen Plant Seeds	45	621,300.00	6.09	36.01	3.00	15.28	5.45	9.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
582	Bantam	582	1,639.00	216,449.44	250,020.15	199,999.99	23,579.48	199,999.99	250,020.15	1,748.00	439,601.31	512,993.00	298,666.00	89,223.29	512,973.96	298,666.00							
583	Condor	583	550.00	220,102.04	250,000.08	201,000.00	21,389.46	204,000.53	250,000.08	1,097.00	418,406.99	442,554.59	364,000.00	20,551.22	422,000.01	364,000.00							
584	Griffin	584	1,586.00	344,792.18	361,681.85	206,111.00	41,368.86	354,028.00	359,456.28	1,270.00	686,164.41	799,999.98	525,998.97	86,575.10	689,348.31	525,998.98							
585	Slasher	585	934.00	363,355.30	373,782.04	351,048.06	9,059.18	360,000.16	373,782.03	244.00	809,768.59	2,000,000.00	669,999.99	353,413.09	674,988.88	670,000.00							
586	Probe	586	580.00	275,140.01	321,000.00	259,005.01	25,924.03	261,000.26	320,166.71	995.00	440,786.04	493,998.87	402,999.61	23,830.97	444,877.99	402,999.61							
587	Rifter	587	840.00	295,596.30	370,000.03	203,434.00	59,425.06	300,812.97	370,000.03	963.00	517,005.34	595,149.89	445,998.38	37,366.41	500,000.00	445,998.38							
588	Reaper	588	2,300.00	100.06	100.08	100.05	0.01	100.07	100.08	759.00	27,990.32	38,650.00	4,999.99	8,771.13	31,824.87	19,717.08							
589	Executioner	589	1,840.00	176,825.15	214,725.05	150,100.03	26,972.77	155,600.39	214,725.04	2,095.00	422,375.33	550,000.00	333,589.71	82,462.79	399,999.00	333,589.74							
590	Inquisitor	590	1,440.00	319,632.45	369,019.91	250,000.01	43,035.73	309,999.94	369,017.30	1,236.00	583,445.00	899,999.99	428,000.00	108,137.97	514,897.48	428,000.00							
591	Tormentor	591	2,355.00	347,003.86	440,008.44	210,000.04	70,369.03	265,000.02	440,008.43	784.00	945,319.81	1,299,999.99	748,997.73	137,104.36	799,999.99	748,997.81							
592	Navitas	592	1,645.00	203,004.19	208,000.17	199,999.99	2,597.55	199,999.99	208,000.17	782.00	583,136.49	899,995.95	337,997.98	130,259.50	542,887.90	337,998.56							
593	Tristan	593	1,075.00	350,646.29	390,001.11	150,001.00	83,374.30	361,101.99	390,000.80	11,472.00	524,798.72	541,199.99	495,000.01	14,489.54	527,626.26	524,754.34							
594	Incursus	594	1,080.00	279,057.35	401,008.87	1,001.04	188,094.83	201,754.47	401,008.87	848.00	509,421.03	593,988.07	448,889.14	43,510.32	507,247.99	448,889.14							
596	Impairor	596	1,400.00	7,623.07	10,011.01	6,667.90	1,671.56	6,667.90	10,011.01	5,354.00	32,213.64	32,465.00	24,987.00	3,221.76	32,465.00	30,809.69							
597	Punisher	597	1,785.00	329,935.96	403,000.36	155,000.07	91,985.86	294,686.91	403,000.35	1,754.00	538,842.78	699,999.95	439,999.24	56,643.91	545,000.00	439,999.33							
598	Breacher	598	1,255.00	275,377.73	310,079.06	203,204.26	38,747.15	300,005.30	310,079.06	1,331.00	529,872.90	699,999.99	449,999.98	58,569.91	490,000.00	467,391.30							
599	Burst	599	2,540.00	119,427.99	251,009.62	0.17	115,269.48	199,999.99	251,009.62	2,511.00	384,068.85	498,998.56	261,009.60	86,582.91	349,999.95	269,841.54							
601	Ibis	601	101,100.00	130.28	130.29	130.25	0.02	130.28	130.28	649.00	806,458.05	1,999,999.00	33,999.89	926,776.71	33,999.99	33,999.89							
602	Kestrel	602	658.00	392,819.88	460,001.06	100,000.01	101,377.12	460,001.00	460,001.06	1,221.00	573,025.67	699,999.98	549,998.99	43,335.06	550,000.00	549,999.71							
603	Merlin	603	640.00	399,917.57	420,001.01	371,029.76	19,735.12	416,000.99	420,001.01	1,178.00	557,718.15	1,450,000.00	524,596.88	198,345.36	525,000.00	524,596.89							
605	Heron	605	1,120.00	364,190.19	369,000.21	353,029.93	4,928.66	366,038.04	369,000.21	1,351.00	492,420.66	556,030.00	465,999.84	21,346.59	500,000.00	465,999.85							
606	Velator	606	11,000.00	202.07	202.07	202.06	0.00	202.07	202.07	632.00	78,105.25	199,999.97	19,998.99	45,396.19	37,499.91	28,389.74							
607	Imicus	607	1,450.00	29,068.12	440,002.00	1,059.98	160,943.26	2,630.10	246,667.33	1,740.00	580,559.29	1,245,844.00	511,993.93	152,491.89	580,000.00	511,994.63							
608	Atron	608	632.00	276,371.84	303,000.01	150,000.00	46,446.47	301,001.11	301,847.42	1,334.00	525,865.07	1,239,004.28	404,999.98	239,012.38	405,000.00	405,000.00							
