ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile							30002659
18	Plagioclase	18	116,849,332.00	58.51	62.59	45.42	5.68	59.25	62.59	1,858,419.00	65.30	68.40	62.60	2.24	62.96	62.60							
19	Spodumain	19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
20	Kernite	20	5,070,000.00	207.32	220.51	197.01	9.96	200.25	220.03	3,737,508.00	286.89	330.00	271.72	24.10	296.50	271.72							
21	Hedbergite	21	850,000.00	561.44	663.27	490.27	81.49	490.27	663.27	18,878.00	768.10	769.00	760.00	4.24	769.00	760.00							
22	Arkonor	22	230,000.00	400.01	3,000.00	10.01	1,495.00	10.01	3,000.00	7,493.00	5,064.51	5,200.00	4,800.00	163.94	5,200.00	4,800.00							
34	Tritanium	34	5,632,596,451.00	5.62	6.02	3.78	0.44	5.75	5.95	135,619,504.00	6.89	10.40	6.47	1.54	6.71	6.48							
35	Pyerite	35	1,067,000,000.00	9.24	9.97	6.88	0.86	9.76	9.96	553,630,794.00	10.99	12.95	10.16	0.61	11.02	10.32							
36	Mexallon	36	513,304,928.00	52.81	55.53	21.72	6.73	53.61	55.53	85,308,907.00	61.55	64.15	59.19	1.84	60.72	59.28							
37	Isogen	37	97,000,000.00	42.08	92.20	1.00	31.18	1.00	92.20	57,019,632.00	102.07	115.00	96.30	3.75	101.47	96.51							
38	Nocxium	38	8,219,999.00	421.21	435.41	400.00	15.44	435.32	435.41	23,026,610.00	490.66	661.54	466.24	35.82	483.45	466.48							
39	Zydrine	39	4,623,541.00	935.08	1,083.38	250.00	210.27	1,080.53	1,083.35	5,620,897.00	1,301.78	1,437.55	1,153.30	89.66	1,279.94	1,181.38							
40	Megacyte	40	4,215,345.00	809.43	1,053.36	600.03	136.44	800.96	1,053.33	3,936,049.00	1,341.22	1,549.69	1,189.94	111.21	1,362.99	1,189.94							
41	Garbage	41	1,500,000.00	5.06	5.06	5.03	0.01	5.06	5.06	42,780.00	88.95	88.99	12.00	38.50	88.99	88.95							
