ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile
18	Plagioclase	18	57,555,200.00	60.13	66.13	34.00	10.97	66.07	66.12	6,581,222.00	71.39	76.06	67.87	2.36	72.75	67.87
19	Spodumain	19	377,398.00	1,297.39	2,513.37	60.02	933.53	2,139.92	2,148.36	42,944.00	20,465.19	59,887.98	4,900.00	13,528.91	20,897.99	5,236.16
20	Kernite	20	22,209,999.00	178.10	232.08	117.10	37.64	160.10	210.65	9,829,947.00	315.43	459.77	279.00	60.38	288.86	279.88
21	Hedbergite	21	845,000.00	496.02	603.69	301.01	123.15	401.64	601.70	212,233.00	761.67	924.83	723.99	74.28	729.00	723.99
22	Arkonor	22	463,555.00	2,983.96	3,620.03	1,300.00	864.60	3,550.02	3,620.03	86,531.00	5,274.93	6,500.00	4,200.00	770.31	5,799.93	4,269.47
34	Tritanium	34	14,966,717,594.00	5.60	6.27	2.00	1.22	6.03	6.25	17,125,291,420.00	6.78	10.50	6.28	0.90	6.60	6.34
35	Pyerite	35	1,456,825,914.00	10.10	10.79	8.21	0.95	10.44	10.79	8,618,448,527.00	12.86	20.00	10.86	1.97	12.30	10.86
36	Mexallon	36	1,308,297,379.00	55.43	60.10	37.03	7.40	56.20	60.10	1,160,458,294.00	65.09	83.97	60.97	4.32	62.59	60.98
37	Isogen	37	379,984,438.00	78.00	93.69	40.00	12.71	74.97	93.60	826,180,675.00	116.97	215.11	95.20	31.33	103.71	95.22
38	Nocxium	38	79,893,603.00	388.56	439.08	269.83	40.20	350.01	439.08	287,859,874.00	618.01	1,484.79	447.66	173.33	487.49	447.82
39	Zydrine	39	44,242,348.00	960.13	1,022.03	820.00	75.12	1,000.00	1,022.02	200,600,116.00	1,276.85	1,849.99	1,065.63	173.39	1,259.50	1,070.52
40	Megacyte	40	34,647,267.00	902.25	1,019.78	650.00	102.81	1,012.52	1,016.95	180,024,819.00	1,489.32	3,899.91	1,088.86	527.53	1,217.48	1,088.92
41	Garbage	41	8,000,000.00	15.16	17.18	1.11	7.57	17.16	17.18	1,112,692.00	43.18	699.99	25.00	181.32	50.43	25.74
42	Spiced Wine	42	1,044,879.00	780.22	979.01	101.01	371.91	879.22	979.00	202,089.00	9,882.87	9,989.90	1,708.00	4,091.61	9,941.95	9,841.84
43	Antibiotics	43	1,510,000.00	99.72	299.00	1.02	140.46	1.06	299.00	320.00	358.09	360.00	300.00	28.05	360.00	329.50
44	Enriched Uranium	44	1,289,962.00	9,965.29	10,502.04	9,511.00	390.84	10,002.53	10,502.04	3,160,491.00	13,433.74	24,669.69	11,398.31	2,355.58	13,304.85	11,398.34
45	Frozen Plant Seeds	45	100,000.00	4.21	4.21	4.21	0.00	4.21	4.21	420.00	954.34	20,000.00	85.45	4,878.68	119.50	85.48
582	Bantam	582	1,090.00	217,000.01	217,000.09	217,000.00	0.04	217,000.00	217,000.09	3,194.00	419,643.89	890,000.00	252,998.73	171,593.78	424,992.90	253,795.60
583	Condor	583	3,795.00	313,177.39	407,000.00	100,000.01	92,488.33	271,005.14	407,000.00	1,799.00	490,009.99	500,000.00	489,999.00	4,454.37	490,000.00	489,999.97
584	Griffin	584	2,852.00	370,340.48	401,000.00	343,119.26	21,477.15	365,201.60	401,000.00	2,760.00	607,466.62	1,399,987.79	403,898.87	290,706.58	445,000.21	403,899.55
585	Slasher	585	7,367.00	402,261.31	550,805.01	295,000.00	102,505.77	352,501.62	550,805.00	1,536.00	620,005.74	729,999.99	617,894.98	35,159.42	617,897.00	617,895.99
586	Probe	586	4,005.00	410,367.30	415,000.00	380,000.00	10,857.35	405,002.82	415,000.00	961.00	1,369,813.38	2,799,959.99	457,665.99	570,121.73	1,999,990.00	457,665.99
587	Rifter	587	3,540.00	393,088.46	405,001.34	210,005.80	66,671.67	398,005.21	405,001.34	3,026.00	533,905.75	549,999.96	478,999.98	24,111.35	535,999.09	486,732.40
588	Reaper	588	4,569.00	9,004.31	9,007.48	9,003.08	2.17	9,003.11	9,007.46	1,072.00	97,696.12	250,005.00	64,243.82	36,821.18	87,499.99	65,387.15
589	Executioner	589	9,606.00	307,096.34	346,000.00	50,000.01	111,196.78	310,005.38	346,000.00	6,476.00	412,225.15	700,000.00	386,989.70	74,778.41	386,989.70	386,989.70
590	Inquisitor	590	1,390.00	414,398.35	425,000.00	351,012.45	31,386.26	423,504.87	425,000.00	864.00	690,416.18	743,000.00	527,999.98	86,632.77	715,000.00	527,999.98
591	Tormentor	591	1,925.00	467,978.95	600,000.00	250,000.00	81,002.72	510,000.09	600,000.00	919.00	757,508.25	783,898.90	710,000.00	18,853.55	779,449.45	734,778.37
592	Navitas	592	1,339.00	169,514.76	210,000.07	25,001.02	88,238.98	200,005.00	210,000.07	36,010.00	391,420.69	488,279.02	249,899.95	63,568.93	444,139.52	254,962.60
