ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile							30002510
18	Plagioclase	18	59,500,000.00	36.98	57.68	33.05	10.66	33.05	57.68	1,124,455.00	65.48	69.00	64.00	1.92	66.00	64.96							
19	Spodumain	19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	5,000.00	5,000.00	5,000.00	0.00	5,000.00	5,000.00							
20	Kernite	20	8,490,000.00	150.88	215.55	4.02	80.68	135.06	215.55	593,848.00	274.99	275.00	200.00	37.50	275.00	274.99							
21	Hedbergite	21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
22	Arkonor	22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,893.00	4,623.76	5,900.00	4,472.99	672.70	4,472.99	4,472.99							
34	Tritanium	34	2,850,784,891.00	5.09	5.98	3.51	0.80	5.26	5.93	3,353,634,651.00	6.60	10.85	6.10	0.97	6.85	6.15							
35	Pyerite	35	1,196,436,628.00	8.96	10.25	7.13	0.80	9.06	9.95	440,905,912.00	10.75	20.48	10.27	2.92	10.88	10.27							
36	Mexallon	36	359,600,000.00	50.28	57.16	36.00	7.23	52.55	57.15	126,460,460.00	60.50	67.00	59.19	1.66	60.97	59.29							
37	Isogen	37	42,761,111.00	86.18	93.62	69.55	7.12	84.79	93.61	126,775,414.00	97.88	136.00	94.86	8.25	96.23	94.87							
38	Nocxium	38	6,692,554.00	362.94	446.12	300.00	65.65	315.05	444.76	39,736,974.00	486.61	589.98	462.77	24.81	490.30	468.77							
39	Zydrine	39	2,709,665.00	964.86	1,053.04	805.33	75.09	925.65	1,053.03	4,608,021.00	1,295.22	1,500.00	1,169.90	115.10	1,320.98	1,169.92							
40	Megacyte	40	3,461,991.00	1,055.16	1,093.67	1,008.00	26.60	1,067.29	1,093.64	9,088,216.00	1,261.04	1,699.00	1,181.59	103.55	1,238.93	1,181.60							
41	Garbage	41	1,008,689.00	1.25	28.34	1.01	11.82	1.01	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
42	Spiced Wine	42	10,500,000.00	1.07	1.76	1.04	0.36	1.04	1.07	51.00	22,776.82	24,568.32	20,000.00	2,284.16	24,568.32	20,000.00							
43	Antibiotics	43	1,371,580.00	333.20	333.21	333.20	0.00	333.20	333.21	63,889.00	344.52	355.32	344.29	4.35	344.50	344.50							
44	Enriched Uranium	44	354,311.00	10,177.45	11,155.34	9,000.00	884.08	10,101.00	11,155.32	287,908.00	13,718.16	16,488.00	11,900.00	1,520.80	13,049.96	11,900.72							
45	Frozen Plant Seeds	45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	200.00	200.00	200.00	0.00	200.00	200.00							
582	Bantam	582	892.00	131,001.30	131,001.35	131,000.32	0.39	131,001.29	131,001.35	2,986.00	422,595.15	425,000.00	369,999.95	18,155.73	425,000.00	377,749.20							
583	Condor	583	436.00	171,424.21	250,000.01	40,007.32	84,945.40	222,500.03	250,000.01	214.00	390,754.16	525,876.97	366,999.94	54,620.00	367,999.00	366,999.94							
